Stage,Cancer,Freq
is,TGCT,7
not reported,CESC,15
not reported,HNSC,2
not reported,LGG,3
not reported,LUAD,1
not reported,OV,3
not reported,PAAD,1
not reported,PRAD,2
not reported,SARC,4
not reported,STAD,1
not reported,TGCT,1
not reported,UCEC,5
not reported,UCS,15
stage 0,SKCM,1
stage i,BRCA,9
stage i,COAD,3
stage i,HNSC,1
stage i,TGCT,1
stage i,THCA,1
stage ia,BRCA,2
stage ia,LUAD,4
stage ia,LUSC,1
stage ia,MESO,1
stage ia,TGCT,1
stage ib,ESCA,1
stage ib,LUAD,3
stage ib,LUSC,3
stage ib,STAD,2
stage ib,TGCT,4
stage ii,BLCA,5
stage ii,STAD,1
stage ii,TGCT,1
stage iia,BRCA,34
stage iia,COAD,5
stage iia,ESCA,5
stage iia,LUAD,5
stage iia,LUSC,8
stage iia,STAD,3
stage iia,TGCT,7
stage iib,BRCA,16
stage iib,ESCA,1
stage iib,LUAD,4
stage iib,LUSC,8
stage iib,PAAD,3
stage iib,STAD,6
stage iii,BLCA,7
stage iii,CHOL,1
stage iii,ESCA,2
stage iii,MESO,3
stage iii,SKCM,1
stage iii,TGCT,1
stage iiia,BRCA,11
stage iiia,ESCA,1
stage iiia,LUAD,4
stage iiia,LUSC,2
stage iiia,STAD,6
stage iiia,TGCT,1
stage iiib,COAD,2
stage iiib,LUAD,1
stage iiib,LUSC,2
stage iiib,READ,1
stage iiib,STAD,6
stage iiib,TGCT,2
stage iiic,BRCA,11
stage iiic,COAD,1
stage iiic,ESCA,1
stage iiic,READ,1
stage iiic,SKCM,1
stage iiic,STAD,5
stage iiic,TGCT,5
stage iv,BLCA,11
stage iv,LUAD,1
stage iv,STAD,2
stage iva,HNSC,7
stage ivb,CHOL,1
